,Target audience,Product or Service,General domain,Aggressiveness level,Advertisement text - headline,Advertisement text - body,Visual Style and Tone,Image
0,Women,Artisanal scented candles,Home decor,2,Find Your Inner Peace: Light Up Our Exquisite Candles,"Escape the everyday hustle and immerse yourself in tranquility with our hand-poured,all-natural soy candles. Each scent is carefully curated to evoke calm and serenity,transforming your home into a sanctuary of peace.",Serene,"Image of a burning candle with soft,warm lighting and flowers around it."
1,Men,High-performance headphones,Technology,4,Unleash the Beast: Headphones Engineered for Audiophiles,"Experience sound like never before with our revolutionary headphones.  Crafted with cutting-edge technology and superior acoustics,they deliver unparalleled clarity and depth,immersing you in a world of pure audio bliss.",Bold,"Image of sleek,black headphones against a dark background with electric blue accents."
2,Women,Organic skincare products,Beauty,3,Reveal Your Natural Radiance: Embrace Organic Skincare,"Our luxurious,certified organic skincare line is formulated with potent botanicals to nourish,revitalize,and protect your skin.  Discover the power of nature's finest ingredients for a healthy and radiant complexion.",Elegant,Image of a collection of skincare products beautifully arranged with green leaves and flowers.
3,Men,Adventure travel tours,Travel,5,Conquer Your Fears: Epic Adventures Await,"Break free from the ordinary and embark on an adrenaline-fueled journey with our expert-led adventure tours. From scaling towering peaks to exploring uncharted territories,we push your limits and create memories that last a lifetime.",Daring,Image of a rugged mountain peak with a clear blue sky and a winding road leading up to it.
4,Women,Subscription box for book lovers,Literature,1,Indulge Your Literary Passion: Unbox a World of Stories,"Discover new literary treasures every month with our curated book subscription box.  Each box delivers a captivating read,delightful bookish goodies,and personalized recommendations tailored to your reading preferences.",Charming,Image of a beautifully wrapped book box with a cup of tea and reading glasses next to it.
5,Women,Artisanal Soap,Beauty & Self-Care,2,Indulge Your Senses with Nature's Touch,"Handcrafted with love and infused with essential oils,our soaps will leave your skin feeling soft,supple,and delicately scented. Experience the difference of natural beauty.",Serene,Image of a bar of soap with dried flowers on a wooden surface
6,Women,Yoga Studio Membership,Fitness & Wellness,3,Find Your Inner Peace and Outer Strength,"Join our vibrant community and discover the transformative power of yoga. Our experienced instructors guide you through invigorating flows,fostering flexibility and mindfulness. Embrace a healthier,happier you.",Invigorating,Image of a yoga mat rolled out in a studio with sunlight streaming in
7,Men,Craft Beer Subscription Box,Food & Beverage,4,"Ditch the Ordinary,Embrace the Brewtiful","Tired of the same old beers? We curate a monthly box of craft beers from independent breweries,delivering exciting new flavors to your doorstep. Get ready to explore the world of craft beer,one sip at a time.",Bold,Image of a wooden crate overflowing with craft beer bottles and cans
8,Men,Multi-Tool Gadget,Outdoors & Adventure,5,"Conquer Any Challenge,Anytime,Anywhere","Be prepared for anything with our ultimate multi-tool gadget. Packed with essential tools for every situation,from fixing a flat tire to starting a fire,it's the ultimate companion for the modern adventurer. Unleash your inner MacGyver.",Rugged,Image of a multi-tool gadget with various tools extended on a rocky terrain
9,Women,Luxury Handbag,Fashion & Accessories,3,Elevate Your Style with Timeless Elegance,"Made with premium leather and impeccable craftsmanship,our handbags exude sophistication and effortless style. Invest in a statement piece that will complement your wardrobe and stand the test of time.",Sophisticated,Image of a sleek leather handbag against a backdrop of city lights at night
10,Women,Organic Skincare Line,Beauty & Self-Care,1,Nourish Your Skin with Nature's Goodness,"Our organic skincare line is formulated with plant-based ingredients,gently restoring your skin's natural radiance. Embrace a holistic approach to beauty that is kind to both your skin and the environment.",Gentle,Image of various organic skincare products arranged among green leaves and blossoms
11,Men,Wireless Headphones,Technology & Gadgets,4,Experience Sound Like Never Before,"Immerse yourself in crystal-clear audio with our cutting-edge wireless headphones. Engineered for superior sound quality and noise cancellation,they're perfect for workouts,commutes,and everything in between. Elevate your listening experience.",Modern,Image of sleek wireless headphones with a neon light effect
12,Men,Performance Tires,Automotive,4,"Grip the Road,Unleash Your Drive","Dominate every turn and accelerate with confidence. Our high-performance tires deliver unparalleled grip,responsiveness,and control,giving you the edge on any road. Experience the thrill of driving at its peak.",Dynamic,Image of a tire leaving a smoky skid mark on asphalt
13,Women,Meal Kit Delivery Service,Food & Cooking,2,"Simplify Dinnertime,Elevate Your Meals","Discover the joy of cooking delicious,healthy meals at home with our convenient meal kit delivery service. Fresh,pre-portioned ingredients and easy-to-follow recipes arrive at your doorstep,making weeknight dinners a breeze. Enjoy quality time with your loved ones and savor the flavors of home.",Warm,Image of a meal kit box overflowing with fresh ingredients and recipe cards on a kitchen counter
14,Women,Floral Perfume,Beauty & Fragrance,3,Blossom into Confidence with Our Captivating Scent,"Entice your senses with a bouquet of delicate floral notes,designed to evoke femininity and grace. Our perfume lingers subtly throughout the day,leaving an unforgettable impression. Embrace your inner bloom and radiate confidence with every spritz.",Elegant,Image of a perfume bottle with delicate floral designs on a vanity table with soft lighting
15,Men,Outdoor Grill,Home & Garden,5,Become the Grillmaster You Were Born to Be,"Unleash your inner chef with our top-of-the-line outdoor grill.  Built with precision engineering and innovative features,it delivers superior grilling performance,making every barbecue a resounding success.  Get ready to impress your guests with culinary masterpieces.",Powerful,Image of a sleek outdoor grill with flames erupting from the gratesset against a backyard backdrop
16,Men,Espresso Machine,Home Appliances,4,Fuel Your Day with the Perfect Espresso,"Start your morning with a jolt of invigorating espresso made with our high-performance espresso machine. Sleek design,advanced features,and barista-level quality,all in the comfort of your own home.  Experience coffee perfection,one cup at a time.",Sophisticated,Image of a modern espresso machine with a steaming cup of coffee next to itshowcasing its sleek design and functionality
17,Women,Designer Sunglasses,Fashion & Accessories,2,Embrace the Sunshine with Style,"Shield your eyes from the sun's rays while elevating your look with our chic designer sunglasses. Available in a variety of styles and colors to complement any outfit,these sunglasses are the perfect blend of fashion and function. Step out with confidence and make a statement.",Chic,Image of a pair of designer sunglasses perched on a beach towel with a shimmering ocean backdrop
18,Men,Adventure Travel Package,Travel & Leisure,5,"Escape the Ordinary,Embrace the Extraordinary","Unleash your adventurous spirit with our thrilling travel package.  Explore uncharted territories,conquer challenging terrains,and create unforgettable memories. This is your chance to break free from routine and discover the world's hidden wonders.",Adventurous,Image of a backpack and hiking boots resting on a rock overlooking a breathtaking mountain vista
19,Women,Luxury Spa Treatment,Beauty & Wellness,2,"Escape to Tranquility,Rejuvenate Your Soul","Indulge in a luxurious spa experience designed to melt away stress and revitalize your senses. Our expert therapists will pamper you with soothing treatments,leaving you feeling refreshed,radiant,and utterly renewed.",Serene,Image of a burning candlesmooth stonesand a fluffy towel beside a tranquil pool of water with flower petals.
